eyy,Load (kN) (N)
0.289527647,484.5451243
0.290977839,484.3142405
0.292139706,484.4531016
0.293320664,484.5596293
0.294951897,484.1546933
0.295930814,484.4140722
0.297295085,484.7771894
0.298631586,484.6110618
0.300033143,484.2
0.301372438,484.2
0.302664546,484.2
0.304204944,484.2
0.305172077,483.7009092
0.306607776,483.8939073
0.307732767,484.0869054
0.30973362,484.0325102
0.310837934,483.627957
0.311934752,483.3929699
0.313578366,483.5702964
0.314893981,484.0347486
0.316475643,483.4760473
0.317778137,483.1202508
0.319092634,482.9915688
0.320485393,482.9
0.321863722,482.9
0.323053551,482.8203095
0.324834537,482.7039936
0.326053153,482.7262951
0.327594556,482.9805141
0.329064709,483.179773
0.330776582,483.0317267
0.332112735,482.8729089
0.33372375,482.7111531
0.335253209,482.4239138
0.336498839,482.1726632
0.338398576,481.9539179
0.339532515,481.7590062
0.340976316,481.6486647
0.342572812,481.9726135
0.343666631,481.7040377
0.345124444,481.3807444
0.346941109,481.1095898
0.348448101,480.9460081
0.349905109,480.8300299
0.351435252,480.8333942
0.352977112,480.8784561
0.354509394,480.7792915
0.355996731,480.5480067
0.357689636,480.5
0.359213442,480.4630931
0.360509249,480.3475176
0.362489855,480.139922
0.363683489,479.9715782
0.365676483,479.9130109
0.366942758,479.7152387
0.368823008,479.4777096
0.370357089,479.4
0.37214518,479.4
0.37383993,479.2061365
0.375388389,479.1452533
0.377254607,479.2416871
0.3787162,479.0851745
0.380548638,478.5417338
0.382397972,478.297536
0.383912563,478.0145624
0.385829351,477.6805917
0.387322236,477.4688237
0.389478727,477.4009398
0.39080568,476.9988809
0.392863692,476.8
0.394193522,476.7285281
0.396020718,476.593586
0.398029151,476.4377659
0.399528372,476.2347009
0.401906118,475.9721052
0.403504186,475.5922136
0.405527515,475.3329722
0.407149916,475.1935294
0.409230841,474.8687905
0.411123241,474.6000403
0.412999274,474.346338
0.414758494,474.1017362
0.416646074,473.8325205
0.418697866,473.5440548
0.420506869,473.4289128
0.422486827,473.4866671
0.424209822,473.0632552
0.426214403,472.4187764
0.428115004,471.7080489
0.430052504,471.5347056
0.431921165,471.1963839
0.433531105,470.639957
0.435923031,470.3
0.437851129,470.2164789
0.43952303,469.6715555
0.441400915,469.2069821
0.443504874,468.7793281
0.445001155,468.2119066
0.44687848,467.6126543
0.448823042,467.2584209
0.450753883,466.9768698
0.452556886,466.7692559
0.454515737,465.8206439
0.456169931,465.0824146
0.458311052,464.511802
0.459906399,464.0156994
0.461929456,463.6093628
0.463691439,462.9767093
0.465586874,462.1035044
0.46726952,461.6384124
0.469441646,461.1593322
0.47074432,460.3556523
0.472821362,459.8461133
0.474762589,459.341729
0.476612511,458.5798237
0.478397598,457.7072747
0.479712456,456.4823906
0.48216994,455.6878185
0.483712949,455.2833043
0.485682889,454.5525265
0.487500645,453.6895002
0.489487222,452.835091
0.490871912,452.0732099
0.49299332,451.2792187
0.494642542,450.269894
0.496461856,449.3463163
0.498081722,448.4227386
0.500023529,447.3943488
0.501840358,446.2774912
0.503592328,445.4062512
0.505446004,444.7184432
0.50698882,443.907775
0.509101098,442.8685832
0.510869795,441.7445409
0.512972206,440.8389146
0.514477896,439.8384203
0.516147236,438.6398701
0.518376126,437.5042072
0.519815282,436.3685443
0.522001264,435.2433296
