Time (Sec.) (seconds),eyy,Load (kN) (N)
379.5122832,0.295510618,502.2696031
380.5104158,0.297079291,502.0757156
381.5085485,0.298139357,501.8620339
382.5066812,0.29970541,501.4569476
383.5048139,0.300681678,501.233757
384.5029465,0.301870847,501.0403204
385.5010792,0.303304927,500.8658042
386.4992119,0.304377937,500.7412711
387.4973446,0.305803228,500.2569214
388.4954772,0.306931724,499.5942184
389.4936099,0.308292881,499.2964622
390.4917426,0.309471022,499.1227341
391.4898752,0.310748743,498.8964002
392.4880079,0.312019744,498.6717328
393.4861406,0.31345389,498.4579999
394.4842733,0.314346237,498.244267
395.4824059,0.315869575,497.8485244
396.4805386,0.316990752,497.460465
397.4786713,0.318333463,497.1428773
398.476804,0.319594956,496.7837081
399.4749366,0.321240638,496.2893605
400.4730693,0.322490005,495.7953139
401.471202,0.323322343,495.3307961
402.4693347,0.325112733,494.8444036
403.4674673,0.325905184,494.3038986
404.4656,0.327378457,493.7680486
405.4637327,0.328756667,493.2962776
406.4618653,0.330182738,492.9418276
407.459998,0.331580291,492.6709113
408.4581307,0.332637071,492.3995567
409.4562634,0.334189944,492.1282021
410.454396,0.335442932,491.5247024
411.4525287,0.337250952,490.8826788
412.4506614,0.33825801,490.3093669
413.4487941,0.339586487,489.7901071
414.4469267,0.341055362,489.1328629
415.4450594,0.342147811,488.5083945
416.4431921,0.343950942,488.0984837
417.4413248,0.345199703,487.5928819
418.4394574,0.346587185,486.8309485
419.4375901,0.34787243,486.0711102
420.4357228,0.349116772,485.3606955
421.4338554,0.350894351,484.6495507
422.4319881,0.352186501,483.9287038
423.4301208,0.353233338,483.2078569
424.4282535,0.354982153,482.8552083
425.4263861,0.356481909,482.3115187
426.4245188,0.357631742,481.2346392
427.4226515,0.359032087,480.4123643
428.4207842,0.360760773,479.6426283
429.4189168,0.3619632,478.5367973
430.4170495,0.363751187,477.4309663
431.4151822,0.364878094,476.6167528
432.4133149,0.366231773,475.8549122
433.4114475,0.367287027,475.4469561
434.4095802,0.368713241,474.6526154
435.4077129,0.370486799,473.6407209
436.4058455,0.371631159,472.6739959
437.4039782,0.372904975,471.9291207
438.4021109,0.374500873,471.0490766
439.4002436,0.376043469,470.1089844
440.3983762,0.377265885,469.1629818
441.3965089,0.378529858,468.1988475
442.3946416,0.379815675,467.2527979
443.3927743,0.381242757,466.3543886
444.3909069,0.382641849,465.4389045
445.3890396,0.383889171,464.192018
446.3871723,0.385693649,463.0652474
447.385305,0.386954819,462.0882823
448.3834376,0.388315665,461.0890933
449.3815703,0.3896418,460.075246
450.379703,0.390843673,459.1530045
451.3778356,0.392304044,458.2845911
452.3759683,0.393638687,457.1282845
453.374101,0.395151885,455.8942641
454.3722337,0.39629087,454.463002
455.3703663,0.397587156,452.9391354
456.368499,0.39916673,451.8171317
457.3666317,0.400286042,450.7057206
458.3647644,0.402039112,449.4828253
459.362897,0.403076867,448.1958348
460.3610297,0.404798705,446.6428041
461.3591624,0.40606558,445.0478294
462.357295,0.407169748,443.8845046
463.3554277,0.408727082,442.7211798
464.3535604,0.409695591,441.2842817
465.3516931,0.411263609,439.76217
466.3498257,0.41250675,438.2738529
467.3479584,0.414075226,436.7589962
468.3460911,0.415117236,435.1753768
469.3442238,0.417113564,433.6080542
470.3423564,0.418397221,432.2628619
471.3404891,0.419385732,430.6445653
472.3386218,0.421133456,428.8297786
473.3367545,0.422501271,427.1463564
474.3348871,0.424235494,425.6789425
475.3330198,0.425506525,424.1654443
476.3311525,0.426721817,422.6519461
477.3292851,0.428076798,420.8800151
478.3274178,0.429463624,418.8435083
479.3255505,0.431159021,417.0769018
480.3236832,0.431967877,415.3102953
481.3218158,0.433859652,413.4988355
482.3199485,0.435167013,411.6114966
483.3180812,0.436552767,409.5625149
484.3162139,0.437737964,407.3643651
485.3143465,0.439345186,405.170667
486.3124792,0.440634141,402.9769688
487.3106119,0.441858057,400.8426894
488.3087446,0.443399954,398.6853271
489.3068772,0.44482416,396.5046378
490.3050099,0.446034239,394.361722
491.3031426,0.44751733,392.2188867
492.3012752,0.449174965,389.9864409
493.2994079,0.450480844,387.7087547
494.2975406,0.451785795,385.2122455
495.2956733,0.453330208,382.6168842
496.2938059,0.455101966,380.1927984
497.2919386,0.456797806,377.8014887
498.2900713,0.45791225,375.0158176
499.288204,0.459708437,372.097617
500.2863366,0.460622946,369.2808309
501.2844693,0.462470666,366.4460191
502.282602,0.463959321,363.6034931
503.2807347,0.465450138,360.7387397
504.2788673,0.467187129,357.8289291
505.277,0.468197714,354.8
